2022-11-23T02:11:09.769Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2022-11-23T02:13:09.768Z warp-dns-stats: Queries: 127, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 302.62ms
2022-11-23T02:13:12.539Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2022-11-23T02:15:12.539Z warp-dns-stats: Queries: 187, Success: 71.7%, TimedOut: 0.0%, NoRecordsFound: 28.3%, Other Error: 0.0%, Avg Duration: 227.02ms
2022-11-23T02:17:12.540Z warp-dns-stats: Queries: 32, Success: 81.2%, TimedOut: 0.0%, NoRecordsFound: 18.8%, Other Error: 0.0%, Avg Duration: 339.47ms
2022-11-23T02:19:12.540Z warp-dns-stats: Queries: 19, Success: 73.7%, TimedOut: 0.0%, NoRecordsFound: 26.3%, Other Error: 0.0%, Avg Duration: 296.89ms
2022-11-23T02:21:12.540Z warp-dns-stats: Queries: 41, Success: 92.7%, TimedOut: 0.0%, NoRecordsFound: 7.3%, Other Error: 0.0%, Avg Duration: 211.63ms
2022-11-23T02:23:12.539Z warp-dns-stats: Queries: 44, Success: 65.9%, TimedOut: 0.0%, NoRecordsFound: 34.1%, Other Error: 0.0%, Avg Duration: 213.55ms
2022-11-23T02:25:12.539Z warp-dns-stats: Queries: 24, Success: 70.8%, TimedOut: 0.0%, NoRecordsFound: 29.2%, Other Error: 0.0%, Avg Duration: 199.75ms
2022-11-23T02:27:12.539Z warp-dns-stats: Queries: 8, Success: 87.5%, TimedOut: 0.0%, NoRecordsFound: 12.5%, Other Error: 0.0%, Avg Duration: 215.00ms
2022-11-23T02:29:12.539Z warp-dns-stats: Queries: 37, Success: 86.5%, TimedOut: 0.0%, NoRecordsFound: 13.5%, Other Error: 0.0%, Avg Duration: 185.46ms
2022-11-23T02:31:12.540Z warp-dns-stats: Queries: 5, Success: 80.0%, TimedOut: 0.0%, NoRecordsFound: 20.0%, Other Error: 0.0%, Avg Duration: 182.80ms
2022-11-23T02:33:12.539Z warp-dns-stats: Queries: 52, Success: 88.5%, TimedOut: 0.0%, NoRecordsFound: 11.5%, Other Error: 0.0%, Avg Duration: 193.02ms
2022-11-23T02:35:12.539Z warp-dns-stats: Queries: 31, Success: 61.3%, TimedOut: 0.0%, NoRecordsFound: 38.7%, Other Error: 0.0%, Avg Duration: 254.84ms
2022-11-23T02:37:12.540Z warp-dns-stats: Queries: 43, Success: 83.7%, TimedOut: 0.0%, NoRecordsFound: 16.3%, Other Error: 0.0%, Avg Duration: 197.02ms
2022-11-23T02:39:12.539Z warp-dns-stats: Queries: 16, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 339.62ms
2022-11-23T02:41:12.539Z warp-dns-stats: Queries: 26, Success: 69.2%, TimedOut: 0.0%, NoRecordsFound: 30.8%, Other Error: 0.0%, Avg Duration: 209.88ms
2022-11-23T02:43:12.540Z warp-dns-stats: Queries: 4, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 189.00ms
2022-11-23T02:45:12.540Z warp-dns-stats: Queries: 14, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 190.36ms
2022-11-23T02:47:12.540Z warp-dns-stats: Queries: 22, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 190.14ms
2022-11-23T02:49:12.539Z warp-dns-stats: Queries: 4, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 187.50ms
2022-11-23T02:51:12.540Z warp-dns-stats: Queries: 16, Success: 75.0%, TimedOut: 0.0%, NoRecordsFound: 25.0%, Other Error: 0.0%, Avg Duration: 201.44ms
2022-11-23T02:53:12.539Z warp-dns-stats: Queries: 10, Success: 90.0%, TimedOut: 0.0%, NoRecordsFound: 10.0%, Other Error: 0.0%, Avg Duration: 191.80ms
2022-11-23T02:55:12.540Z warp-dns-stats: Queries: 6, Success: 66.7%, TimedOut: 0.0%, NoRecordsFound: 33.3%, Other Error: 0.0%, Avg Duration: 220.33ms
2022-11-23T02:57:12.539Z warp-dns-stats: Queries: 12, Success: 75.0%, TimedOut: 0.0%, NoRecordsFound: 25.0%, Other Error: 0.0%, Avg Duration: 230.58ms
2022-11-23T02:59:12.540Z warp-dns-stats: Queries: 8, Success: 75.0%, TimedOut: 0.0%, NoRecordsFound: 25.0%, Other Error: 0.0%, Avg Duration: 224.12ms
2022-11-23T03:01:12.540Z warp-dns-stats: Queries: 11, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 183.82ms
2022-11-23T03:03:12.540Z warp-dns-stats: Queries: 7, Success: 85.7%, TimedOut: 0.0%, NoRecordsFound: 14.3%, Other Error: 0.0%, Avg Duration: 159.57ms
2022-11-23T03:05:12.540Z warp-dns-stats: Queries: 13, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 175.15ms
2022-11-23T03:07:12.539Z warp-dns-stats: Queries: 38, Success: 65.8%, TimedOut: 0.0%, NoRecordsFound: 34.2%, Other Error: 0.0%, Avg Duration: 195.11ms
2022-11-23T03:09:12.540Z warp-dns-stats: Queries: 118, Success: 75.4%, TimedOut: 0.0%, NoRecordsFound: 24.6%, Other Error: 0.0%, Avg Duration: 203.61ms
2022-11-23T03:11:12.539Z warp-dns-stats: Queries: 38, Success: 76.3%, TimedOut: 0.0%, NoRecordsFound: 23.7%, Other Error: 0.0%, Avg Duration: 208.71ms
2022-11-23T03:13:12.540Z warp-dns-stats: Queries: 14, Success: 71.4%, TimedOut: 0.0%, NoRecordsFound: 28.6%, Other Error: 0.0%, Avg Duration: 203.79ms
2022-11-23T03:15:12.539Z warp-dns-stats: Queries: 22, Success: 72.7%, TimedOut: 0.0%, NoRecordsFound: 27.3%, Other Error: 0.0%, Avg Duration: 188.82ms
2022-11-23T03:17:12.539Z warp-dns-stats: Queries: 22, Success: 95.5%, TimedOut: 0.0%, NoRecordsFound: 4.5%, Other Error: 0.0%, Avg Duration: 202.86ms
2022-11-23T03:19:12.540Z warp-dns-stats: Queries: 79, Success: 77.2%, TimedOut: 0.0%, NoRecordsFound: 22.8%, Other Error: 0.0%, Avg Duration: 222.63ms
