2022-11-23T02:11:09.769Z warp-stats: Time since handshake: 0.53s, tx: 0B, rx: 0B, loss: 0.0%, latency: 439ms
2022-11-23T02:13:09.768Z warp-stats: Time since handshake: 0.32s, tx: 24.87MiB, rx: 246.29MiB, loss: 1.7%, latency: 173ms
2022-11-23T02:13:12.539Z warp-stats: Time since handshake: 0.54s, tx: 13.09KiB, rx: 384B, loss: 0.0%, latency: 187ms
2022-11-23T02:15:12.539Z warp-stats: Time since handshake: 0.29s, tx: 47.27MiB, rx: 123.43MiB, loss: 0.6%, latency: 186ms
2022-11-23T02:17:12.540Z warp-stats: Time since handshake: 120.29s, tx: 59.90MiB, rx: 263.30MiB, loss: 3.5%, latency: 186ms
2022-11-23T02:19:12.540Z warp-stats: Time since handshake: 120.04s, tx: 60.15MiB, rx: 263.99MiB, loss: 0.0%, latency: 187ms
2022-11-23T02:21:12.540Z warp-stats: Time since handshake: 119.76s, tx: 60.49MiB, rx: 266.08MiB, loss: 0.0%, latency: 180ms
2022-11-23T02:23:12.539Z warp-stats: Time since handshake: 119.46s, tx: 60.83MiB, rx: 270.30MiB, loss: 0.0%, latency: 186ms
2022-11-23T02:25:12.539Z warp-stats: Time since handshake: 119.17s, tx: 61.07MiB, rx: 271.34MiB, loss: 0.0%, latency: 186ms
2022-11-23T02:27:12.539Z warp-stats: Time since handshake: 118.89s, tx: 62.72MiB, rx: 309.06MiB, loss: 0.0%, latency: 186ms
2022-11-23T02:29:12.539Z warp-stats: Time since handshake: 118.83s, tx: 65.06MiB, rx: 376.50MiB, loss: 0.1%, latency: 186ms
2022-11-23T02:31:12.540Z warp-stats: Time since handshake: 118.55s, tx: 67.21MiB, rx: 451.36MiB, loss: 0.0%, latency: 179ms
2022-11-23T02:33:12.539Z warp-stats: Time since handshake: 118.27s, tx: 70.06MiB, rx: 0.51GiB, loss: 0.5%, latency: 179ms
2022-11-23T02:35:12.539Z warp-stats: Time since handshake: 118.00s, tx: 71.80MiB, rx: 0.54GiB, loss: 0.4%, latency: 178ms
2022-11-23T02:37:12.540Z warp-stats: Time since handshake: 118.00s, tx: 72.42MiB, rx: 0.55GiB, loss: 0.0%, latency: 186ms
2022-11-23T02:39:12.539Z warp-stats: Time since handshake: 117.97s, tx: 72.94MiB, rx: 0.55GiB, loss: 0.0%, latency: 186ms
2022-11-23T02:41:12.539Z warp-stats: Time since handshake: 117.96s, tx: 74.27MiB, rx: 0.57GiB, loss: 7.8%, latency: 179ms
2022-11-23T02:43:12.540Z warp-stats: Time since handshake: 117.93s, tx: 75.13MiB, rx: 0.59GiB, loss: 0.8%, latency: 181ms
2022-11-23T02:45:12.540Z warp-stats: Time since handshake: 117.84s, tx: 75.87MiB, rx: 0.60GiB, loss: 0.0%, latency: 187ms
2022-11-23T02:47:12.540Z warp-stats: Time since handshake: 117.81s, tx: 77.33MiB, rx: 0.63GiB, loss: 0.0%, latency: 188ms
2022-11-23T02:49:12.539Z warp-stats: Time since handshake: 117.80s, tx: 78.11MiB, rx: 0.63GiB, loss: 1.2%, latency: 187ms
2022-11-23T02:51:12.540Z warp-stats: Time since handshake: 117.73s, tx: 78.74MiB, rx: 0.63GiB, loss: 0.0%, latency: 186ms
2022-11-23T02:53:12.539Z warp-stats: Time since handshake: 117.73s, tx: 78.94MiB, rx: 0.64GiB, loss: 0.0%, latency: 186ms
2022-11-23T02:55:12.540Z warp-stats: Time since handshake: 117.71s, tx: 79.19MiB, rx: 0.64GiB, loss: 0.0%, latency: 186ms
2022-11-23T02:57:12.539Z warp-stats: Time since handshake: 117.41s, tx: 79.57MiB, rx: 0.64GiB, loss: 0.0%, latency: 187ms
2022-11-23T02:59:12.540Z warp-stats: Time since handshake: 117.36s, tx: 79.75MiB, rx: 0.65GiB, loss: 0.0%, latency: 186ms
2022-11-23T03:01:12.540Z warp-stats: Time since handshake: 117.35s, tx: 79.95MiB, rx: 0.65GiB, loss: 0.0%, latency: 179ms
2022-11-23T03:03:12.540Z warp-stats: Time since handshake: 117.33s, tx: 80.13MiB, rx: 0.65GiB, loss: 0.0%, latency: 186ms
2022-11-23T03:05:12.540Z warp-stats: Time since handshake: 117.05s, tx: 80.36MiB, rx: 0.65GiB, loss: 0.0%, latency: 179ms
2022-11-23T03:07:12.539Z warp-stats: Time since handshake: 116.75s, tx: 81.37MiB, rx: 0.66GiB, loss: 0.0%, latency: 186ms
2022-11-23T03:09:12.540Z warp-stats: Time since handshake: 116.73s, tx: 82.06MiB, rx: 0.66GiB, loss: 0.0%, latency: 187ms
2022-11-23T03:11:12.539Z warp-stats: Time since handshake: 116.45s, tx: 82.85MiB, rx: 0.67GiB, loss: 0.0%, latency: 186ms
2022-11-23T03:13:12.540Z warp-stats: Time since handshake: 116.17s, tx: 83.25MiB, rx: 0.68GiB, loss: 0.0%, latency: 192ms
2022-11-23T03:15:12.539Z warp-stats: Time since handshake: 116.16s, tx: 84.11MiB, rx: 0.68GiB, loss: 0.0%, latency: 187ms
2022-11-23T03:17:12.539Z warp-stats: Time since handshake: 115.88s, tx: 84.53MiB, rx: 0.68GiB, loss: 0.0%, latency: 187ms
2022-11-23T03:19:12.540Z warp-stats: Time since handshake: 115.58s, tx: 85.33MiB, rx: 0.69GiB, loss: 0.0%, latency: 189ms
